location,region
Sacred Forest Meadow Gossip Stone Fairy,Sacred Forest Meadow
LW Gift from Saria,the Lost Woods
HF Ocarina of Time Item,Hyrule Field
Song from Ocarina of Time,Hyrule Field
Hyrule Field Big Poe Kill,Hyrule Field
Hyrule Field Subrule 1,Hyrule Field
Hyrule Field Subrule 2,Hyrule Field
Pierre,Lake Hylia
LH Underwater Item,Lake Hylia
LH Sun,Lake Hylia
LH Freestanding PoH,Lake Hylia
LH GS Bean Patch,Lake Hylia
LH GS Lab Wall,Lake Hylia
LH GS Small Island,Lake Hylia
LH GS Tree,Lake Hylia
LH Lab Gossip Stone,Lake Hylia
LH Gossip Stone (Southeast),Lake Hylia
LH Gossip Stone (Southwest),Lake Hylia
Lake Hylia Gossip Stone Fairy,Lake Hylia
Lake Hylia Bean Plant Fairy,Lake Hylia
Lake Hylia Butterfly Fairy,Lake Hylia
Lake Hylia Bug Shrub,Lake Hylia
Bonooru from Lake Hylia,Lake Hylia
Lake Hylia Subrule 1,Lake Hylia
LH Lab Dive,Lake Hylia
LH GS Lab Crate,Lake Hylia
Eyedrops Access from LH Lab,Lake Hylia
LH Child Fishing,Lake Hylia
LH Adult Fishing,Lake Hylia
GV GS Small Bridge,Gerudo Valley
Gerudo Valley Bug Rock,Gerudo Valley
GV Waterfall Freestanding PoH,Gerudo Valley
GV GS Bean Patch,Gerudo Valley
GV Cow,Gerudo Valley
GV Gossip Stone,Gerudo Valley
GV Upper Stream Gossip Stone Fairy,Gerudo Valley
GV Upper Stream Bean Plant Fairy,Gerudo Valley
GV Crate Freestanding PoH,Gerudo Valley
GV Chest,Gerudo Valley
GV GS Behind Tent,Gerudo Valley
GV GS Pillar,Gerudo Valley
Broken Sword Access from GV Fortress Side,Gerudo Valley
GF Chest,Gerudo's Fortress
GF HBA 1000 Points,Gerudo's Fortress
GF HBA 1500 Points,Gerudo's Fortress
GF North F1 Carpenter,Gerudo's Fortress
GF North F2 Carpenter,Gerudo's Fortress
GF South F1 Carpenter,Gerudo's Fortress
GF South F2 Carpenter,Gerudo's Fortress
GF Gerudo Membership Card,Gerudo's Fortress
GF GS Archery Range,Gerudo's Fortress
GF GS Top Floor,Gerudo's Fortress
Carpenter Rescue from Gerudo Fortress,Gerudo's Fortress
GF Gate Open from Gerudo Fortress,Gerudo's Fortress
Wasteland Chest,Haunted Wasteland
Wasteland Bombchu Salesman,Haunted Wasteland
Wasteland GS,Haunted Wasteland
Haunted Wasteland Fairy Pot,Haunted Wasteland
Haunted Wasteland Nut Pot,Haunted Wasteland
Colossus Freestanding PoH,Desert Colossus
Colossus GS Bean Patch,Desert Colossus
Colossus GS Tree,Desert Colossus
Colossus GS Hill,Desert Colossus
Colossus Gossip Stone,Desert Colossus
Desert Colossus Gossip Stone Fairy,Desert Colossus
Desert Colossus Fairy Pond,Desert Colossus
Desert Colossus Bug Rock,Desert Colossus
Desert Colossus Subrule 1,Desert Colossus
Sheik at Colossus,Desert Colossus
Colossus Great Fairy Reward,Desert Colossus
ToT Gossip Stone (Left),the Market
ToT Gossip Stone (Left-Center),the Market
ToT Gossip Stone (Right),the Market
ToT Gossip Stone (Right-Center),the Market
ToT Entrance Gossip Stone Fairy,the Market
ToT Light Arrows Cutscene,Temple of Time
Master Sword Pedestal,Temple of Time
Sheik at Temple,Temple of Time
HC Malon Egg,Hyrule Castle
HC GS Tree,Hyrule Castle
HC Malon Gossip Stone,Hyrule Castle
HC Rock Wall Gossip Stone,Hyrule Castle
Hyrule Castle Grounds Gossip Stone Fairy,Hyrule Castle
Hyrule Castle Grounds Butterfly Fairy,Hyrule Castle
Hyrule Castle Grounds Bug Rock,Hyrule Castle
HC Zeldas Letter,Hyrule Castle
Song from Impa,Hyrule Castle
HC Great Fairy Reward,Hyrule Castle
OGC GS,outside Ganon's Castle
OGC Great Fairy Reward,outside Ganon's Castle
Market 10 Big Poes,the Market
Market GS Guard House,the Market
Sell Big Poe from Market Guard House,the Market
Market Bazaar Item 1,the Market
Market Bazaar Item 2,the Market
Market Bazaar Item 3,the Market
Market Bazaar Item 4,the Market
Market Bazaar Item 5,the Market
Market Bazaar Item 6,the Market
Market Bazaar Item 7,the Market
Market Bazaar Item 8,the Market
Skull Mask from Market Mask Shop,the Market
Mask of Truth from Market Mask Shop,the Market
Market Shooting Gallery Reward,the Market
Market Bombchu Bowling First Prize,the Market
Market Bombchu Bowling Second Prize,the Market
Market Bombchu Bowling Bombchus,the Market
Market Potion Shop Item 1,the Market
Market Potion Shop Item 2,the Market
Market Potion Shop Item 3,the Market
Market Potion Shop Item 4,the Market
Market Potion Shop Item 5,the Market
Market Potion Shop Item 6,the Market
Market Potion Shop Item 7,the Market
Market Potion Shop Item 8,the Market
Market Treasure Chest Game Reward,the Market
Market Bombchu Shop Item 1,the Market
Market Bombchu Shop Item 2,the Market
Market Bombchu Shop Item 3,the Market
Market Bombchu Shop Item 4,the Market
Market Bombchu Shop Item 5,the Market
Market Bombchu Shop Item 6,the Market
Market Bombchu Shop Item 7,the Market
Market Bombchu Shop Item 8,the Market
Market Lost Dog,the Market
Sheik in Kakariko,Kakariko Village
Kak Anju as Adult,Kakariko Village
Kak Anju as Child,Kakariko Village
Kak GS House Under Construction,Kakariko Village
Kak GS Skulltula House,Kakariko Village
Kak GS Guards House,Kakariko Village
Kak GS Tree,Kakariko Village
Kak GS Watchtower,Kakariko Village
Kakariko Village Bug Rock,Kakariko Village
Cojiro Access from Kakariko Village,Kakariko Village
Kakariko Village Gate Open from Kakariko Village,Kakariko Village
Kakariko Village Subrule 1,Kakariko Village
Kak GS Above Impas House,Kakariko Village
Kak Man on Roof,Kakariko Village
Wake Up Adult Talon from Kak Carpenter Boss House,Kakariko Village
Kak 10 Gold Skulltula Reward,Kakariko Village
Kak 20 Gold Skulltula Reward,Kakariko Village
Kak 30 Gold Skulltula Reward,Kakariko Village
Kak 40 Gold Skulltula Reward,Kakariko Village
Kak 50 Gold Skulltula Reward,Kakariko Village
Kak Impas House Freestanding PoH,Kakariko Village
Kak Impas House Cow,Kakariko Village
Kak Windmill Freestanding PoH,Kakariko Village
Song from Windmill,Kakariko Village
Drain Well from Kak Windmill,Kakariko Village
Kak Bazaar Item 1,Kakariko Village
Kak Bazaar Item 2,Kakariko Village
Kak Bazaar Item 3,Kakariko Village
Kak Bazaar Item 4,Kakariko Village
Kak Bazaar Item 5,Kakariko Village
Kak Bazaar Item 6,Kakariko Village
Kak Bazaar Item 7,Kakariko Village
Kak Bazaar Item 8,Kakariko Village
Kak Shooting Gallery Reward,Kakariko Village
Kak Potion Shop Item 1,Kakariko Village
Kak Potion Shop Item 2,Kakariko Village
Kak Potion Shop Item 3,Kakariko Village
Kak Potion Shop Item 4,Kakariko Village
Kak Potion Shop Item 5,Kakariko Village
Kak Potion Shop Item 6,Kakariko Village
Kak Potion Shop Item 7,Kakariko Village
Kak Potion Shop Item 8,Kakariko Village
Odd Potion Access from Kak Odd Medicine Building,Kakariko Village
Graveyard Freestanding PoH,the Graveyard
Graveyard Dampe Gravedigging Tour,the Graveyard
Graveyard GS Wall,the Graveyard
Graveyard GS Bean Patch,the Graveyard
Graveyard Butterfly Fairy,the Graveyard
Graveyard Bean Plant Fairy,the Graveyard
Graveyard Bug Rock,the Graveyard
Graveyard Subrule 1,the Graveyard
Graveyard Subrule 2,the Graveyard
Graveyard Shield Grave Chest,the Graveyard
Graveyard Shield Grave Free Fairies,the Graveyard
Graveyard Heart Piece Grave Chest,the Graveyard
Graveyard Composers Grave Chest,the Graveyard
Song from Composers Grave,the Graveyard
Graveyard Hookshot Chest,the Graveyard
Graveyard Dampe Race Freestanding PoH,the Graveyard
Graveyard Dampes Grave Nut Pot,the Graveyard
Dampes Windmill Access from Graveyard Dampes Grave,the Graveyard
Graveyard Gossip Stone,the Graveyard
Graveyard Warp Pad Region Gossip Stone Fairy,the Graveyard
DMT Chest,Death Mountain Trail
DMT Freestanding PoH,Death Mountain Trail
DMT GS Bean Patch,Death Mountain Trail
DMT GS Near Kak,Death Mountain Trail
DMT GS Above Dodongos Cavern,Death Mountain Trail
Death Mountain Bean Plant Fairy,Death Mountain Trail
Death Mountain Subrule 1,Death Mountain Trail
Death Mountain Subrule 2,Death Mountain Trail
DMT Biggoron,Death Mountain Trail
DMT GS Falling Rocks Path,Death Mountain Trail
DMT Gossip Stone,Death Mountain Trail
Death Mountain Summit Gossip Stone Fairy,Death Mountain Trail
Death Mountain Summit Bug Rock,Death Mountain Trail
Prescription Access from Death Mountain Summit,Death Mountain Trail
Death Mountain Summit Subrule 1,Death Mountain Trail
GC Maze Left Chest,Goron City
GC Maze Center Chest,Goron City
GC Maze Right Chest,Goron City
GC Pot Freestanding PoH,Goron City
GC Rolling Goron as Child,Goron City
GC Medigoron,Goron City
GC Rolling Goron as Adult,Goron City
GC GS Boulder Maze,Goron City
GC GS Center Platform,Goron City
GC Maze Gossip Stone,Goron City
GC Medigoron Gossip Stone,Goron City
Goron City Gossip Stone Fairy,Goron City
Goron City Bug Rock,Goron City
Goron City Stick Pot,Goron City
Goron City Child Fire from Goron City,Goron City
GC Woods Warp Open from Goron City,Goron City
Stop GC Rolling Goron as Adult from Goron City,Goron City
GC Woods Warp Open from GC Woods Warp,Goron City
GC Darunias Joy,Goron City
Goron City Child Fire from GC Darunias Chamber,Goron City
GC Shop Item 1,Goron City
GC Shop Item 2,Goron City
GC Shop Item 3,Goron City
GC Shop Item 4,Goron City
GC Shop Item 5,Goron City
GC Shop Item 6,Goron City
GC Shop Item 7,Goron City
GC Shop Item 8,Goron City
DMC Upper Nearby Subrule 1,Death Mountain Crater
DMC Wall Freestanding PoH,Death Mountain Crater
DMC GS Crate,Death Mountain Crater
DMC Gossip Stone,Death Mountain Crater
DMC Upper Local Gossip Stone Fairy,Death Mountain Crater
DMC Deku Scrub,Death Mountain Crater
DMC Volcano Freestanding PoH,Death Mountain Crater
Sheik in Crater,Death Mountain Crater
DMC Central Nearby Subrule 1,Death Mountain Crater
DMC GS Bean Patch,Death Mountain Crater
DMC Central Local Bean Plant Fairy,Death Mountain Crater
DMC Central Local Subrule 1,Death Mountain Crater
DMC Great Fairy Reward,Death Mountain Crater
DMT Great Fairy Reward,Death Mountain Trail
ZR GS Tree,Zora's River
ZR Magic Bean Salesman,Zora's River
ZR Frogs Ocarina Game,Zora's River
ZR Frogs in the Rain,Zora's River
ZR Near Open Grotto Freestanding PoH,Zora's River
ZR Near Domain Freestanding PoH,Zora's River
ZR GS Ladder,Zora's River
ZR GS Near Raised Grottos,Zora's River
ZR GS Above Bridge,Zora's River
ZR Near Grottos Gossip Stone,Zora's River
ZR Near Domain Gossip Stone,Zora's River
Zora River Gossip Stone Fairy,Zora's River
Zora River Bean Plant Fairy,Zora's River
Zora River Butterfly Fairy,Zora's River
Zora River Bug Shrub,Zora's River
Zora River Subrule 1,Zora's River
ZD Diving Minigame,Zora's Domain
ZD Chest,Zora's Domain
Deliver Rutos Letter,Zora's Domain
ZD King Zora Thawed,Zora's Domain
ZD GS Frozen Waterfall,Zora's Domain
ZD Gossip Stone,Zora's Domain
Zoras Domain Gossip Stone Fairy,Zora's Domain
Zoras Domain Fish Group,Zora's Domain
Zoras Domain Stick Pot,Zora's Domain
Zoras Domain Nut Pot,Zora's Domain
King Zora Thawed from Zoras Domain,Zora's Domain
Eyeball Frog Access from Zoras Domain,Zora's Domain
ZF Iceberg Freestanding PoH,Zora's Fountain
ZF Bottom Freestanding PoH,Zora's Fountain
ZF GS Tree,Zora's Fountain
ZF GS Above the Log,Zora's Fountain
ZF GS Hidden Cave,Zora's Fountain
ZF Fairy Gossip Stone,Zora's Fountain
ZF Jabu Gossip Stone,Zora's Fountain
Zoras Fountain Gossip Stone Fairy,Zora's Fountain
Zoras Fountain Butterfly Fairy,Zora's Fountain
ZD Shop Item 1,Zora's Domain
ZD Shop Item 2,Zora's Domain
ZD Shop Item 3,Zora's Domain
ZD Shop Item 4,Zora's Domain
ZD Shop Item 5,Zora's Domain
ZD Shop Item 6,Zora's Domain
ZD Shop Item 7,Zora's Domain
ZD Shop Item 8,Zora's Domain
ZF Great Fairy Reward,Zora's Fountain
Song from Malon,Lon Lon Ranch
LLR GS Tree,Lon Lon Ranch
LLR GS Rain Shed,Lon Lon Ranch
LLR GS House Window,Lon Lon Ranch
LLR GS Back Wall,Lon Lon Ranch
Epona from Lon Lon Ranch,Lon Lon Ranch
Links Cow from Lon Lon Ranch,Lon Lon Ranch
LLR Talons Chickens,Lon Lon Ranch
LLR Stables Left Cow,Lon Lon Ranch
LLR Stables Right Cow,Lon Lon Ranch
LLR Freestanding PoH,Lon Lon Ranch
LLR Tower Left Cow,Lon Lon Ranch
LLR Tower Right Cow,Lon Lon Ranch
Ganons Tower Boss Key Chest,Ganon's Castle
Ganondorf Hint,Ganon's Castle
Ganon,Ganon's Castle
GF Storms Grotto Free Fairies,Gerudo's Fortress
ZD Storms Grotto Free Fairies,Zora's Domain
KF Storms Grotto Chest,Kokiri Forest
KF Storms Grotto Gossip Stone,Kokiri Forest
KF Storms Grotto Gossip Stone Fairy,Kokiri Forest
KF Storms Grotto Butterfly Fairy,Kokiri Forest
KF Storms Grotto Bug Shrub,Kokiri Forest
KF Storms Grotto Lone Fish,Kokiri Forest
LW Near Shortcuts Grotto Chest,the Lost Woods
LW Near Shortcuts Grotto Gossip Stone,the Lost Woods
LW Near Shortcuts Grotto Gossip Stone Fairy,the Lost Woods
LW Near Shortcuts Grotto Butterfly Fairy,the Lost Woods
LW Near Shortcuts Grotto Bug Shrub,the Lost Woods
LW Near Shortcuts Grotto Lone Fish,the Lost Woods
Deku Theater Skull Mask,the Lost Woods
Deku Theater Mask of Truth,the Lost Woods
LW Deku Scrub Grotto Rear,the Lost Woods
LW Deku Scrub Grotto Front,the Lost Woods
SFM Fairy Grotto Free Fairies,Sacred Forest Meadow
SFM Deku Scrub Grotto Rear,Sacred Forest Meadow
SFM Deku Scrub Grotto Front,Sacred Forest Meadow
SFM Wolfos Grotto Chest,Sacred Forest Meadow
LLR Deku Scrub Grotto Left,Lon Lon Ranch
LLR Deku Scrub Grotto Right,Lon Lon Ranch
LLR Deku Scrub Grotto Center,Lon Lon Ranch
HF Southeast Grotto Chest,Hyrule Field
HF Southeast Grotto Gossip Stone,Hyrule Field
HF Southeast Grotto Gossip Stone Fairy,Hyrule Field
HF Southeast Grotto Butterfly Fairy,Hyrule Field
HF Southeast Grotto Bug Shrub,Hyrule Field
HF Southeast Grotto Lone Fish,Hyrule Field
HF Open Grotto Chest,Hyrule Field
HF Open Grotto Gossip Stone,Hyrule Field
HF Open Grotto Gossip Stone Fairy,Hyrule Field
HF Open Grotto Butterfly Fairy,Hyrule Field
HF Open Grotto Bug Shrub,Hyrule Field
HF Open Grotto Lone Fish,Hyrule Field
HF Deku Scrub Grotto,Hyrule Field
HF GS Cow Grotto,Hyrule Field
HF Cow Grotto Cow,Hyrule Field
HF Cow Grotto Gossip Stone,Hyrule Field
HF Cow Grotto Gossip Stone Fairy,Hyrule Field
HF Cow Grotto Bug Shrub,Hyrule Field
HF Cow Grotto Nut Pot,Hyrule Field
HF Near Market Grotto Chest,Hyrule Field
HF Near Market Grotto Gossip Stone,Hyrule Field
HF Near Market Grotto Gossip Stone Fairy,Hyrule Field
HF Near Market Grotto Butterfly Fairy,Hyrule Field
HF Near Market Grotto Bug Shrub,Hyrule Field
HF Near Market Grotto Lone Fish,Hyrule Field
HF Fairy Grotto Free Fairies,Hyrule Field
HF GS Near Kak Grotto,Hyrule Field
HF Tektite Grotto Freestanding PoH,Hyrule Field
HC GS Storms Grotto,Hyrule Castle
HC Storms Grotto Gossip Stone,Hyrule Castle
HC Storms Grotto Gossip Stone Fairy,Hyrule Castle
HC Storms Grotto Wandering Bugs,Hyrule Castle
HC Storms Grotto Nut Pot,Hyrule Castle
Kak Redead Grotto Chest,Kakariko Village
Kak Open Grotto Chest,Kakariko Village
Kak Open Grotto Gossip Stone,Kakariko Village
Kak Open Grotto Gossip Stone Fairy,Kakariko Village
Kak Open Grotto Butterfly Fairy,Kakariko Village
Kak Open Grotto Bug Shrub,Kakariko Village
Kak Open Grotto Lone Fish,Kakariko Village
DMT Cow Grotto Cow,Death Mountain Trail
DMT Storms Grotto Chest,Death Mountain Trail
DMT Storms Grotto Gossip Stone,Death Mountain Trail
DMT Storms Grotto Gossip Stone Fairy,Death Mountain Trail
DMT Storms Grotto Butterfly Fairy,Death Mountain Trail
DMT Storms Grotto Bug Shrub,Death Mountain Trail
DMT Storms Grotto Lone Fish,Death Mountain Trail
GC Deku Scrub Grotto Left,Goron City
GC Deku Scrub Grotto Right,Goron City
GC Deku Scrub Grotto Center,Goron City
DMC Upper Grotto Chest,Death Mountain Crater
DMC Upper Grotto Gossip Stone,Death Mountain Crater
DMC Upper Grotto Gossip Stone Fairy,Death Mountain Crater
DMC Upper Grotto Butterfly Fairy,Death Mountain Crater
DMC Upper Grotto Bug Shrub,Death Mountain Crater
DMC Upper Grotto Lone Fish,Death Mountain Crater
DMC Deku Scrub Grotto Left,Death Mountain Crater
DMC Deku Scrub Grotto Right,Death Mountain Crater
DMC Deku Scrub Grotto Center,Death Mountain Crater
ZR Open Grotto Chest,Zora's River
ZR Open Grotto Gossip Stone,Zora's River
ZR Open Grotto Gossip Stone Fairy,Zora's River
ZR Open Grotto Butterfly Fairy,Zora's River
ZR Open Grotto Bug Shrub,Zora's River
ZR Open Grotto Lone Fish,Zora's River
ZR Fairy Grotto Free Fairies,Zora's River
ZR Deku Scrub Grotto Rear,Zora's River
ZR Deku Scrub Grotto Front,Zora's River
LH Deku Scrub Grotto Left,Lake Hylia
LH Deku Scrub Grotto Right,Lake Hylia
LH Deku Scrub Grotto Center,Lake Hylia
Colossus Deku Scrub Grotto Rear,Desert Colossus
Colossus Deku Scrub Grotto Front,Desert Colossus
GV Deku Scrub Grotto Rear,Gerudo Valley
GV Deku Scrub Grotto Front,Gerudo Valley
Deku Tree Map Chest,Deku Tree
Deku Tree Compass Chest,Deku Tree
Deku Tree Compass Room Side Chest,Deku Tree
Deku Tree Basement Chest,Deku Tree
Deku Tree GS Compass Room,Deku Tree
Deku Tree GS Basement Vines,Deku Tree
Deku Tree GS Basement Gate,Deku Tree
Deku Tree Lobby Deku Baba Sticks,Deku Tree
Deku Tree Lobby Deku Baba Nuts,Deku Tree
Deku Tree Lobby Subrule 1,Deku Tree
Deku Tree Lobby Subrule 2,Deku Tree
Deku Tree Lobby Subrule 3,Deku Tree
Deku Tree Lobby Subrule 4,Deku Tree
Deku Tree Lobby Subrule 5,Deku Tree
Deku Tree Lobby Subrule 6,Deku Tree
Deku Tree Slingshot Chest,Deku Tree
Deku Tree Slingshot Room Side Chest,Deku Tree
Deku Tree GS Basement Back Room,Deku Tree
Deku Tree Basement Backroom Subrule 1,Deku Tree
Deku Tree Basement Backroom Subrule 2,Deku Tree
Deku Tree Queen Gohma Heart,Deku Tree
Queen Gohma,Deku Tree
Deku Tree Clear from Deku Tree Boss Room,Deku Tree
Deku Tree Boss Room Subrule 1,Deku Tree
Dodongos Cavern Beginning Subrule 1,Dodongo's Cavern
Dodongos Cavern Map Chest,Dodongo's Cavern
Dodongos Cavern GS Side Room Near Lower Lizalfos,Dodongo's Cavern
Dodongos Cavern GS Scarecrow,Dodongo's Cavern
Dodongos Cavern Deku Scrub Side Room Near Dodongos,Dodongo's Cavern
Dodongos Cavern Deku Scrub Lobby,Dodongo's Cavern
Dodongos Cavern Gossip Stone,Dodongo's Cavern
Dodongos Cavern Lobby Gossip Stone Fairy,Dodongo's Cavern
Dodongos Cavern Lobby Subrule 1,Dodongo's Cavern
Dodongos Cavern Compass Chest,Dodongo's Cavern
Dodongos Cavern GS Vines Above Stairs,Dodongo's Cavern
Dodongos Cavern Bomb Flower Platform Chest,Dodongo's Cavern
Dodongos Cavern Deku Scrub Near Bomb Bag Right,Dodongo's Cavern
Dodongos Cavern Deku Scrub Near Bomb Bag Left,Dodongo's Cavern
Dodongos Cavern Bomb Bag Chest,Dodongo's Cavern
Dodongos Cavern End of Bridge Chest,Dodongo's Cavern
Dodongos Cavern GS Alcove Above Stairs,Dodongo's Cavern
Dodongos Cavern Far Bridge Subrule 1,Dodongo's Cavern
Dodongos Cavern Boss Room Chest,Dodongo's Cavern
Dodongos Cavern King Dodongo Heart,Dodongo's Cavern
King Dodongo,Dodongo's Cavern
Dodongos Cavern GS Back Room,Dodongo's Cavern
Dodongos Cavern Boss Area Fairy Pot,Dodongo's Cavern
Jabu Jabus Belly Boomerang Chest,Jabu Jabu's Belly
Jabu Jabus Belly GS Water Switch Room,Jabu Jabu's Belly
Jabu Jabus Belly GS Lobby Basement Lower,Jabu Jabu's Belly
Jabu Jabus Belly GS Lobby Basement Upper,Jabu Jabu's Belly
Jabu Jabus Belly Deku Scrub,Jabu Jabu's Belly
Jabu Jabus Belly Main Fairy Pot,Jabu Jabu's Belly
Jabu Jabus Belly Map Chest,Jabu Jabu's Belly
Jabu Jabus Belly Compass Chest,Jabu Jabu's Belly
Jabu Jabus Belly Barinade Heart,Jabu Jabu's Belly
Barinade,Jabu Jabu's Belly
Jabu Jabus Belly GS Near Boss,Jabu Jabu's Belly
Jabu Jabus Belly Boss Area Nut Pot,Jabu Jabu's Belly
Forest Temple First Room Chest,Forest Temple
Forest Temple First Stalfos Chest,Forest Temple
Forest Temple GS First Room,Forest Temple
Forest Temple GS Lobby,Forest Temple
Forest Temple Lobby Fairy Pot,Forest Temple
Forest Temple GS Level Island Courtyard,Forest Temple
Forest Temple NW Outdoors Deku Baba Sticks,Forest Temple
Forest Temple NW Outdoors Deku Baba Nuts,Forest Temple
Forest Temple NW Outdoors Subrule 1,Forest Temple
Forest Temple Raised Island Courtyard Chest,Forest Temple
Forest Temple GS Raised Island Courtyard,Forest Temple
Forest Temple NE Outdoors Deku Baba Sticks,Forest Temple
Forest Temple NE Outdoors Deku Baba Nuts,Forest Temple
Forest Temple Well Chest,Forest Temple
Forest Temple Map Chest,Forest Temple
Forest Temple Falling Ceiling Room Chest,Forest Temple
Forest Temple Amy and Meg from Forest Temple Falling Room,Forest Temple
Forest Temple Falling Room Subrule 1,Forest Temple
Forest Temple Falling Room Subrule 2,Forest Temple
Forest Temple Eye Switch Chest,Forest Temple
Forest Temple Boss Key Chest,Forest Temple
Forest Temple Floormaster Chest,Forest Temple
Forest Temple Outside Upper Ledge Subrule 1,Forest Temple
Forest Temple Bow Chest,Forest Temple
Forest Temple Red Poe Chest,Forest Temple
Forest Temple Blue Poe Chest,Forest Temple
Forest Temple Jo and Beth from Forest Temple Bow Region,Forest Temple
Forest Temple Basement Chest,Forest Temple
Forest Temple Phantom Ganon Heart,Forest Temple
Phantom Ganon,Forest Temple
Forest Temple GS Basement,Forest Temple
Bottom of the Well Front Left Fake Wall Chest,Bottom of the Well
Bottom of the Well Front Center Bombable Chest,Bottom of the Well
Bottom of the Well Right Bottom Fake Wall Chest,Bottom of the Well
Bottom of the Well Compass Chest,Bottom of the Well
Bottom of the Well Center Skulltula Chest,Bottom of the Well
Bottom of the Well Back Left Bombable Chest,Bottom of the Well
Bottom of the Well Freestanding Key,Bottom of the Well
Bottom of the Well Lens of Truth Chest,Bottom of the Well
Bottom of the Well Invisible Chest,Bottom of the Well
Bottom of the Well Underwater Front Chest,Bottom of the Well
Bottom of the Well Underwater Left Chest,Bottom of the Well
Bottom of the Well Map Chest,Bottom of the Well
Bottom of the Well Fire Keese Chest,Bottom of the Well
Bottom of the Well Like Like Chest,Bottom of the Well
Bottom of the Well GS West Inner Room,Bottom of the Well
Bottom of the Well GS East Inner Room,Bottom of the Well
Bottom of the Well GS Like Like Cage,Bottom of the Well
Bottom of the Well Main Area Stick Pot,Bottom of the Well
Bottom of the Well Main Area Nut Pot,Bottom of the Well
Fire Temple Near Boss Chest,Fire Temple
Fire Temple Flare Dancer Chest,Fire Temple
Fire Temple Boss Key Chest,Fire Temple
Fire Temple Volvagia Heart,Fire Temple
Volvagia,Fire Temple
Fire Temple GS Boss Key Loop,Fire Temple
Fire Temple Lower Fairy Pot,Fire Temple
Fire Temple Big Lava Room Lower Open Door Chest,Fire Temple
Fire Temple Big Lava Room Blocked Door Chest,Fire Temple
Fire Temple GS Song of Time Room,Fire Temple
Fire Temple Boulder Maze Lower Chest,Fire Temple
Fire Temple Boulder Maze Upper Chest,Fire Temple
Fire Temple Boulder Maze Side Room Chest,Fire Temple
Fire Temple Boulder Maze Shortcut Chest,Fire Temple
Fire Temple Scarecrow Chest,Fire Temple
Fire Temple Map Chest,Fire Temple
Fire Temple Compass Chest,Fire Temple
Fire Temple GS Boulder Maze,Fire Temple
Fire Temple GS Scarecrow Climb,Fire Temple
Fire Temple GS Scarecrow Top,Fire Temple
Fire Temple Highest Goron Chest,Fire Temple
Fire Temple Megaton Hammer Chest,Fire Temple
Fire Temple Upper Subrule 1,Fire Temple
Ice Cavern Beginning Subrule 1,Ice Cavern
Ice Cavern Map Chest,Ice Cavern
Ice Cavern Compass Chest,Ice Cavern
Ice Cavern Iron Boots Chest,Ice Cavern
Sheik in Ice Cavern,Ice Cavern
Ice Cavern Freestanding PoH,Ice Cavern
Ice Cavern GS Spinning Scythe Room,Ice Cavern
Ice Cavern GS Heart Piece Room,Ice Cavern
